,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
1,763588,13083239,28210996,7846067,161099,11737022,6310,194870,30120,816487
2,30340888,5,28210996,17165888,31145060,47558,453916,22889878,8319728,17071967
3,34268,763588,13083239,17165888,8319728,18051269,29279220,7893,69139,28210996
4,816487,763588,8319728,28210996,30205595,24885829,17165888,23772,161099,3476560
5,28210996,17165888,30340888,27414384,33376257,24819508,31626023,936503,7846067,22889878
6,763588,4215733,68653,17071967,30340888,25738883,7893,29279220,31743096,28210996
7,763588,3008,29102876,17165888,543505,25785760,821000,6310,140225,443103
8,20724592,31145060,28210996,20697464,30340888,936503,17165888,453916,109059,935170
9,17165888,763588,13083239,28210996,2805987,30340888,161099,7846067,24819508,7692533
10,18667875,28210996,24885829,30340888,453916,29102876,27414384,30375421,33376257,31145060
11,763588,9677870,191113,816487,7846067,32333298,31626023,6871646,17262290,766955
12,5,7846067,763588,7844798,113946,3579,9677870,11387515,37186,27247476
13,5,763588,2904330,6347563,7493149,7623958,7846067,8408981,9642662,9661136
14,113946,23772,233093,763588,4948,816487,4215733,8319728,31145060,176972
15,763588,6347563,7846067,9661136,10845916,11233988,11556479,12065943,13083239,13624190
16,23772,113946,763588,4948,233093,816487,29291,4215733,176972,7784
17,113946,763588,2904330,6347563,7846067,9642662,9661136,11556479,13083239,15944573
18,17165888,29102876,16029151,30340888,763588,28637454,17262290,24885829,7692533,3636
19,3579,370493,763588,420282,161099,29279220,4948,30119,17165888,9677870
20,7846067,9677870,13588082,11233988,407429,8036440,6534132,936503,763588,31626023
21,763588,7846067,22750286,33376257,109059,7268995,17262290,23528363,161099,17165888
22,310039,766020,763588,13083239,33376257,301736,11192642,109059,7747422,9473008
23,5,3636,763588,6347563,7846067,9642662,9661136,11594337,13083239,15766776
24,4215733,402009,161099,25377078,23590446,775597,1414607,68653,1763529,235597
25,27247476,29102876,28210996,3636,763588,13591670,22750286,28645670,17165888,20256596
26,3579,763588,4215733,5,37186,24178,16029151,176972,31145060,33016249
27,17165888,33413919,95144,19543,758707,30340888,69139,17061551,4215733,113946
28,17165888,20256610,29102876,28210996,30340888,3636,33376257,30652384,763588,17262290
29,2998,3579,3008,10365,29291,763588,133526,936500,31145060,30119
30,17165888,161099,24885829,816487,23528363,28210996,763588,7893,30340888,25785760
31,315882,763588,17659588,7692533,13588082,30119,13083239,30340888,28008112,3579
32,5,30119,763588,13083239,37186,31145060,8319728,30118,816487,11594337
33,7846067,763588,17082833,816487,515904,176972,2904330,8999818,9677870,11556479
34,3636,20708773,22750286,27247476,33376257,17165888,20696727,28210996,16029151,25745002
35,763588,6347563,7846067,11556479,13531024,13617210,13624190,17082833,22249668,22693811
36,763588,17165888,29279220,7893,3485600,2060655,176972,31145060,4215733,453916
37,30205595,11594337,17165888,30340888,3636,33376257,33158525,29102876,31145060,16029151
38,13083239,3636,24213,763588,3579,30120,47558,34268,3980,55776
39,17262290,68653,936503,28210996,30340888,161099,33784360,8319728,24885829,17165888
40,7846067,24885829,17165888,161099,30340888,29279220,9677870,13586915,27135124,29102876
41,31145060,763588,29102876,176972,68653,28210996,2060655,17165888,11387515,29279220
42,763588,2904330,6347563,7846067,9642662,9661136,17846011,17870871,18166919,18350733
43,763588,7846067,816487,17165888,17262290,28210996,13083239,161099,31626023,32333298
44,30340888,7692533,30205595,17165888,11387515,8319728,27247476,28210996,30375421,33158525
45,17165888,28210996,30340888,763588,16029151,29102876,25785760,30205595,33376257,4215733
46,334818,763588,13083239,421642,774597,165068,176972,143981,7846067,13260645
47,5,3008,77390,84369,113946,8337,763588,6347563,16101018,22693811
48,30340888,763588,28210996,8319728,816487,4215733,300961,31145060,17262290,31626023
